round,accuracy,loss,stragglers,clients_used
1,0.1791,3.7338,0,20
2,0.3214,3.1385,0,20
3,0.3408,2.9287,0,20
4,0.3507,2.9233,0,20
5,0.354,2.9236,0,20
6,0.3727,2.8826,0,20
7,0.3896,2.8375,0,20
8,0.4002,2.81,0,20
9,0.4208,2.7344,0,20
10,0.4302,2.711,0,20
11,0.4344,2.7013,0,20
12,0.4467,2.6782,0,20
13,0.4604,2.6507,0,20
14,0.4787,2.6326,0,20
15,0.473,2.6387,0,20
16,0.4748,2.6362,0,20
17,0.4627,2.6522,0,20
18,0.4694,2.6592,0,20
19,0.4631,2.7034,0,20
20,0.4683,2.6897,0,20
21,0.4656,2.691,0,20
22,0.471,2.7079,1,19
23,0.4743,2.7404,0,20
24,0.474,2.7539,0,20
25,0.4806,2.7635,0,20
